
1.66,-4.15,18.53,840.34
1.67,-1.58,20.88,1030.93
1.68,69.77,90,7142.86
1.69,72.44,98.08,7692.31
1.7,37.16,20.11,2127.66
1.71,37.57,20.22,2173.91
1.72,-3.76,18,833.33
1.73,37.16,20.11,2127.66
1.74,52.15,45.6,4000
1.75,24.51,56.25,3571.43
1.76,125.11,2.81,6250
1.77,150,189,20000
1.78,65.11,79.69,6250
1.79,66.38,78.75,6250
1.8,9.91,33.9,2000
1.81,-3.68,18.03,840.34
1.82,66.38,77.81,6250
1.83,-3.59,18.05,847.46
1.84,-3.59,18.31,847.46
1.85,42.56,0,1754.39
1.86,-3.73,18.59,854.7
1.87,-3.64,18.75,862.07
1.88,3.57,4.95,515.46
1.89,2.79,6.55,552.49
1.9,103.17,54.23,7692.31
1.91,2.79,6.46,552.49
1.92,2.76,6.56,546.45
1.93,2.76,6.56,546.45
1.94,-3.44,17.9,840.34
1.95,-3.59,18.31,847.46
1.96,-3.49,18.46,854.7
1.97,-3.35,18.18,847.46
1.98,56.95,54.55,4545.45
1.99,51.98,4.88,2325.58
2,111.51,-0.79,5263.16
2.01,36.06,20.74,2127.66
2.02,50.15,45.58,3846.15
2.03,36.06,21.38,2127.66
2.04,48.26,43.89,3703.7
2.05,49.25,45.58,3846.15
2.06,-2.64,-17.27,369
2.07,-2.64,-17.27,369
2.08,-2.59,-17.33,370.37
2.09,-8.42,-17.99,497.51
2.1,-8.48,-17.81,492.61
2.11,-8.35,-18.32,502.51
2.12,-8.75,-17.12,471.7
2.13,-8.09,-19.01,523.56
2.14,-8.42,-17.99,497.51
2.15,49.13,42.78,3703.7
2.16,47.32,41.25,3571.43
2.17,46.44,39.31,3448.28
2.18,56.84,1.88,2500
2.19,58.39,1.92,2564.1
2.2,58.39,1.92,2564.1
2.21,38.32,23.02,2325.58
2.22,47.26,38.28,3448.28
2.23,93.33,-4.38,4166.67
2.24,59.03,1.15,2564.1
2.25,61.69,0,2702.7
2.26,60.66,0,2631.58
2.27,60.66,0.79,2631.58
2.28,61.69,0,2702.7
2.29,-2.59,-17.56,370.37
2.3,57.33,-2.44,2325.58
